season,week,home_team,away_team
2024,6,SEA,SF
2024,6,CHI,JAX
2024,6,NO,TB
2024,6,BAL,WAS
2024,6,GB,ARI
2024,6,TEN,IND
2024,6,NE,HOU
2024,6,PHI,CLE
2024,6,DEN,LAC
2024,6,LV,PIT
2024,6,CAR,ATL
2024,6,DAL,DET
2024,6,NYG,CIN
2024,6,NYJ,BUF
